Descrição,Código,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Valor Pago,Total Vendas
Açaí na tigela P,47,-223,"R$ 15,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.345,00",35,"R$ 525,00","R$ 525,00"
Açaí na tigela G,48,-149,"R$ 25,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.859,10",58,"R$ 1.313,40","R$ 1.313,40"
Picolé Tradicional,49,-29409,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 88.227,00",7656,"R$ 22.968,00","R$ 22.968,00"
Picolé Especial,50,-6129,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 36.774,00",1925,"R$ 11.550,00","R$ 11.550,00"
Banana Split,51,-94,"R$ 28,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.632,00",19,"R$ 532,00","R$ 532,00"
Pavê de Sorvete,52,-1115,"R$ 12,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 13.937,50",5,"R$ 62,50","R$ 62,50"
Gatorade,53,-28,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 168,00",,,
Água sem Gás 500ml,54,-4970,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 14.910,00",1629,"R$ 4.887,00","R$ 4.887,00"
Água 1L Crystal,55,-556,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.780,00",190,"R$ 950,00","R$ 950,00"
Del Valle Lata 290ml,56,-209,"R$ 4,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 836,00",65,"R$ 260,00","R$ 260,00"
Coca Cola mini 220ml,57,-1150,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.450,00",302,"R$ 906,00","R$ 906,00"
Coca Cola 600ml,58,-703,"R$ 7,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 4.921,00",203,"R$ 1.421,00","R$ 1.421,00"
Toddynho,59,-1,"R$ 2,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 2,50",,,
Sprite Lemon Fresh 510ml,60,-138,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 690,00",43,"R$ 215,00","R$ 215,00"
H2OH 500ml,61,-252,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.512,00",74,"R$ 444,00","R$ 444,00"
Energético Monster 473ml,64,-252,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.520,00",76,"R$ 760,00","R$ 760,00"
Red Bull Lata 250ml,65,-21,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 210,00",7,"R$ 70,00","R$ 70,00"
Itubaína/Gengibirra 2L,66,-325,"R$ 8,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.600,00",55,"R$ 440,00","R$ 440,00"
Coca Cola 2L,67,-641,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 7.692,00",185,"R$ 2.220,00","R$ 2.220,00"
Água com Gás 510mL,68,-998,"R$ 4,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.992,00",330,"R$ 1.320,00","R$ 1.320,00"
Água de Coco 200mL,69,-20,"R$ 3,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 70,00",,,
